microbe_idx,metabolite_idx,weight
6,7,0.14914432168006897
5,9,0.1377166211605072
5,5,0.10901220142841339
2,5,0.09710680693387985
1,8,0.0963408574461937
5,2,0.07663430273532867
8,3,0.0718425065279007
5,6,0.07022937387228012
2,8,0.06964454799890518
4,1,0.05770934745669365
2,3,0.052403781563043594
6,8,0.04939817264676094
1,7,0.0489947609603405
9,9,0.04874797537922859
2,1,0.048714473843574524
5,0,0.048675354570150375
2,6,0.04801907017827034
2,2,0.04630213603377342
4,0,0.04464811086654663
2,0,0.04351718723773956
2,7,0.04313280060887337
6,9,0.04280761256814003
1,3,0.04117630049586296
5,7,0.03876170143485069
0,3,0.03774510696530342
7,7,0.03716685622930527
8,7,0.03566297888755798
2,9,0.03515681251883507
4,3,0.03462867811322212
5,8,0.03419877216219902
